"K0_number","Level2","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample25","Sample26","Sample27","Sample28","Sample29","Sample30","Sample31"
"K00284","Diatom",627,344,797,971,743,628,203,116,216,13,15,6,12
"K00284","Dinoflagellate",154,86,191,226,206,118,12,5,17,0,13,10,4
"K00284","Haptophyte",1184,587,1307,1908,1694,908,17,9,16,0,10,1,0
"K00286","Chlorophyte",202,101,289,359,289,258,2,5,4,0,0,0,0
"K00286","Ciliate",26,15,29,47,44,58,0,0,0,7,81,21,26
"K00286","Diatom",9,8,42,27,21,23,4,2,3,1,11,8,17
"K00286","Dinoflagellate",14,9,30,28,25,23,48,13,51,134,569,446,551
"K00286","Haptophyte",15,7,42,24,18,22,40,14,14,0,0,0,0
"K00288","Chlorophyte",3,7,9,13,7,8,47,46,49,1,16,14,0
"K00288","Ciliate",0,1,1,2,0,1,0,0,0,0,0,0,0
"K00288","Diatom",16,11,24,26,16,20,24,11,37,0,0,0,0
"K00288","Dinoflagellate",8,1,12,20,13,9,39,23,42,2,24,13,18
"K00288","Haptophyte",11,7,17,18,12,9,14,0,10,12,92,79,46
"K00294","Chlorophyte",96,44,127,197,168,121,42,26,58,28,189,107,128
"K00294","Ciliate",26,17,42,30,29,40,551,360,662,25,130,48,61
"K00294","Diatom",17,14,23,40,18,21,121,106,169,0,0,0,0
"K00294","Dinoflagellate",178,92,242,279,205,189,492,268,580,77,497,403,687
"K00294","Haptophyte",41,21,50,70,60,57,13,6,9,6,2,0,5
"K00297","Chlorophyte",39,16,41,54,59,37,51,21,47,374,1553,1200,1406
"K00297","Ciliate",99,46,65,146,160,125,237,265,314,13,19,11,10
"K00297","Diatom",83,51,216,117,114,147,35,63,74,21,52,40,50
"K00297","Dinoflagellate",361,183,324,546,438,283,1047,799,1457,515,2554,1904,2273
"K00297","Haptophyte",569,266,810,1013,772,737,92,63,101,62,236,208,193
"K00311","Chlorophyte",0,0,0,0,0,0,4,1,4,17,19,11,8
"K00311","Ciliate",12,9,7,20,26,14,171,86,194,12,6,11,5
"K00311","Diatom",130,52,207,233,161,196,0,1,2,0,29,15,16
"K00311","Dinoflagellate",35,22,51,74,38,34,44,24,47,41,279,150,367
"K00311","Haptophyte",151,72,170,278,219,124,53,39,80,16,6,2,6
"K00318","Chlorophyte",133,67,174,266,210,174,11,3,5,0,0,0,0
"K00318","Ciliate",101,65,75,148,151,80,351,106,278,1,16,20,7
"K00318","Diatom",6,1,17,9,14,23,5,3,16,0,0,0,0
"K00318","Dinoflagellate",21,12,45,39,35,24,118,124,181,311,1351,1064,1504
"K00318","Haptophyte",6,8,2,7,14,7,0,0,0,0,0,0,0
"K00323","Chlorophyte",109,55,81,153,149,63,69,36,67,16,75,65,46
"K00323","Ciliate",15,6,7,18,20,11,235,151,294,29,271,213,139
"K00323","Diatom",139,78,228,206,159,185,305,127,265,35,236,212,90
"K00323","Dinoflagellate",730,398,500,1141,828,411,1481,816,1769,1193,5175,3818,4947
"K00323","Haptophyte",349,164,429,593,465,310,951,582,1052,171,577,506,324
"K00324","Chlorophyte",40,25,49,63,45,42,0,0,0,5,41,46,25
"K00324","Ciliate",0,0,0,0,0,0,0,0,0,4,0,7,0
"K00324","Diatom",14,8,142,63,34,83,5,7,26,0,0,0,0
"K00324","Dinoflagellate",338,206,147,446,324,112,694,376,701,248,1196,1012,1479
"K00324","Haptophyte",0,0,0,0,0,0,10,4,5,0,0,0,0
"K00325","Chlorophyte",12,10,8,11,9,5,36,23,26,42,166,109,406
"K00325","Ciliate",0,0,0,0,0,0,9,1,15,3,4,3,0
"K00325","Diatom",0,0,0,0,0,0,15,10,10,0,0,0,0
"K00325","Dinoflagellate",55,27,45,66,55,32,167,62,174,144,724,523,816
"K00325","Haptophyte",0,0,1,2,4,4,50,14,31,0,0,0,0
"K00326","Chlorophyte",229,147,354,455,351,276,9,10,21,0,0,0,0
"K00326","Ciliate",34,20,21,45,47,46,64,39,68,0,0,4,10
"K00326","Diatom",60,39,162,100,72,140,26,14,21,3,44,42,48
"K00326","Dinoflagellate",173,82,197,239,173,158,205,178,308,127,810,573,883
"K00326","Haptophyte",377,186,673,709,568,563,22,4,31,1,20,13,21
"K00327","Chlorophyte",654,348,694,1226,881,629,0,0,0,0,0,0,0
"K00327","Ciliate",4,2,5,12,5,5,29,7,24,8,1,2,6
"K00327","Diatom",60,41,188,144,99,145,17,25,8,13,16,0,11
"K00327","Dinoflagellate",175,93,155,243,194,129,625,343,662,275,782,589,800
"K00327","Haptophyte",57,23,90,120,65,56,73,31,54,7,49,31,28
"K00335","Chlorophyte",0,0,0,0,0,0,0,0,0,8,8,6,19
"K00335","Ciliate",15,10,85,33,16,56,0,0,0,0,0,0,0
"K00335","Diatom",1,1,8,4,0,1,0,0,0,0,0,0,0
"K00335","Dinoflagellate",10,3,22,8,10,11,0,0,0,0,0,0,0
"K00335","Haptophyte",1,1,0,2,2,1,0,0,0,0,0,0,0
"K00344","Chlorophyte",448,227,821,821,627,718,0,0,0,0,0,0,0
"K00344","Ciliate",0,0,0,0,0,0,0,0,8,2,21,6,14
"K00344","Diatom",93,53,274,151,114,199,0,0,0,0,14,19,0
"K00344","Dinoflagellate",15,6,42,29,19,28,56,29,61,17,53,54,109
"K00344","Haptophyte",428,222,721,870,693,566,1,9,8,3,19,10,4
"K00366","Chlorophyte",445,228,329,867,634,383,94,42,87,2,11,18,17
"K00366","Ciliate",1,0,5,2,0,5,0,0,0,0,0,0,0
"K00366","Diatom",5,2,12,8,7,12,107,42,91,2,48,24,46
"K00366","Dinoflagellate",10,1,10,11,8,1,0,0,0,0,0,0,0
"K00366","Haptophyte",60,32,94,97,112,55,0,0,0,0,0,0,0
"K00380","Chlorophyte",0,0,0,0,0,0,15,6,5,0,0,0,0
"K00380","Ciliate",8,2,1,14,14,7,4,2,4,0,0,0,0
"K00380","Diatom",8,2,9,4,2,7,0,4,4,0,4,4,1
"K00380","Dinoflagellate",362,171,238,551,368,195,684,500,793,674,2521,1841,2722
"K00380","Haptophyte",32,21,86,84,45,52,224,167,232,47,84,80,56
"K00381","Chlorophyte",0,0,0,0,0,0,0,0,0,1,7,18,6
"K00381","Ciliate",7,3,1,11,12,1,0,0,0,0,0,0,0
"K00381","Diatom",0,0,0,0,0,0,4,0,3,0,0,0,0
"K00381","Dinoflagellate",272,177,243,429,355,180,265,107,220,522,1697,1149,1580
"K00381","Haptophyte",0,0,0,0,0,0,12,2,2,0,0,0,0
"K00382","Chlorophyte",1341,727,1649,2687,1972,1741,36,20,16,12,52,60,73
"K00382","Ciliate",57,20,28,71,70,58,501,260,520,48,184,155,65
"K00382","Diatom",386,222,779,585,499,678,60,56,124,14,41,45,33
"K00382","Dinoflagellate",305,176,359,541,383,376,322,128,384,71,211,183,262
"K00382","Haptophyte",808,425,1286,1401,1228,1106,74,44,122,11,50,38,33
"K00383","Chlorophyte",725,385,1073,1379,1044,1002,3,0,2,0,0,0,0
"K00383","Ciliate",102,62,71,175,194,150,86,61,73,1,0,5,10
"K00383","Diatom",183,112,371,291,278,356,9,2,17,0,0,0,0
"K00383","Dinoflagellate",45,39,104,138,120,68,76,45,79,15,87,50,137
"K00383","Haptophyte",487,265,825,804,761,665,0,2,6,0,4,9,3
"K00384","Chlorophyte",1375,693,1541,2625,2047,1723,26,5,37,0,0,0,0
"K00384","Ciliate",287,174,329,484,521,444,286,143,319,48,226,181,139
"K00384","Diatom",317,189,738,479,405,612,159,138,239,9,117,89,106
"K00384","Dinoflagellate",264,141,304,480,341,314,366,198,401,212,860,729,904
"K00384","Haptophyte",1322,675,1923,2148,1877,1631,183,137,227,40,99,66,32
"K00387","Chlorophyte",27,15,26,40,24,27,0,0,0,12,64,30,35
"K00387","Ciliate",0,0,0,0,0,0,230,168,309,0,0,0,0
