gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
tps:THAPSDRAFT_31222,2.60640249936551,2.76585477801464,1.81028247682816,1.52785811795558,0.126547768770189,0.272044624648983
tps:THAPSDRAFT_31294,5.71126219482789,3.61333040919108,1.48768720519724,2.42882401392436,0.015147883118598,0.072671969261472
tps:THAPSDRAFT_3135,2.06958814937808,3.50367962951442,2.27649900333211,1.53906486424378,0.123788461686874,NA
tps:THAPSDRAFT_3136,0.116747775833469,-1.55331961604934,3.39620612319175,-0.457369064098362,0.647405796204785,NA
tps:THAPSDRAFT_31372,2.67137300082386,3.85215558940576,2.00812549382183,1.91828429112486,0.055074973188917,0.157453526124061
tps:THAPSDRAFT_3141,9.76564687714387,-0.085337717349869,1.68658817886606,-0.050597839128248,0.959645984747471,0.974542588497299
tps:THAPSDRAFT_3143,9.74754165671809,2.48191609785228,1.00022967483395,2.48134619507696,0.013088718254738,0.066919849904551
tps:THAPSDRAFT_3153,15.1373645403195,1.88143028737919,0.951365970425655,1.97760940149815,0.047972787847504,0.144649183958639
tps:THAPSDRAFT_31543,2.52493564966834,2.32541368669374,1.85891126479188,1.25095464788314,0.210951024250587,0.379158615863449
tps:THAPSDRAFT_3158,0.201418774688026,0.151039980378553,3.34044823541217,0.045215482993382,0.963935553227839,NA
tps:THAPSDRAFT_31819,1.72603386939699,3.18298441304527,2.54560374275693,1.2503848731767,0.211158987683485,NA
tps:THAPSDRAFT_31862,3.5136875122887,2.30742693268452,1.67692805644504,1.37598445193653,0.168826446974417,0.32769179205385
tps:THAPSDRAFT_31885,5.32483127374711,-1.19080055604309,1.61921611548946,-0.73541792516259,0.462085008352999,0.621112162756996
tps:THAPSDRAFT_31923,2.09162141347515,3.50593315155862,2.40795026225,1.45598237908895,0.145397490807519,NA
tps:THAPSDRAFT_31938,6.52952589725146,2.85695286440652,2.30337686244223,1.24033236201624,0.214852487224766,0.383061557433564
tps:THAPSDRAFT_31951,0.561692415568656,1.60849913064664,3.30857127173277,0.486161245607453,0.62685284609711,NA
tps:THAPSDRAFT_32003,3.12944471487376,3.52116835203996,1.7445168590953,2.01842036302592,0.043547500405671,0.135661774802732
tps:THAPSDRAFT_32022,6.33043015790976,3.64380812390708,1.58076060112619,2.30509801503851,0.021161084645359,0.088023384612234
tps:THAPSDRAFT_32064,1.03740066404335,2.29773558717604,2.49542164760021,0.920780497911331,0.357165038846353,NA
tps:THAPSDRAFT_32154,0.573819115411054,1.66084694409734,3.30790901536463,0.502083623335166,0.615608699430092,NA
tps:THAPSDRAFT_32226,3.55400164216438,4.22393563020915,1.90192322202113,2.22087599609856,0.026359361452495,0.101234719067387
tps:THAPSDRAFT_3223,3.15406302707018,3.38371228513784,2.14545587407736,1.57715305451947,0.114760311994972,0.253295079418311
tps:THAPSDRAFT_32273,1.72523053853147,0.69338325244911,2.62443506431844,0.264202860979981,0.791623606630844,NA
tps:THAPSDRAFT_3229,17.2429590378253,2.67256070305676,1.17256159453773,2.27924973451853,0.022652224176327,0.091901941214317
tps:THAPSDRAFT_32316,3.99510485682344,1.53373233401572,1.68025771933088,0.912795886232555,0.361349902310027,0.529875544472446
tps:THAPSDRAFT_32319,13.7667430377931,-1.64115306524774,1.16595000189452,-1.40756727353752,0.159259243782374,0.315939168316723
tps:THAPSDRAFT_3233,0.268841271796951,-1.38821340326478,3.3518015008356,-0.414169336375886,0.678750096769954,NA
tps:THAPSDRAFT_32347,0.460677700709524,0.414852343615128,3.33217575868405,0.124498938128931,0.900920241090079,NA
tps:THAPSDRAFT_3235,6.45837112858013,2.59129614877663,1.5284554459579,1.69536910979609,0.090005422026056,0.214204718728401
tps:THAPSDRAFT_32374,1.89550970192148,3.25985117897395,2.26891272416458,1.43674595512449,0.150790191926146,NA
tps:THAPSDRAFT_32430,3.12084550956254,0.599758417985811,1.93277819676447,0.310308973367883,0.756326007976992,0.84694978173965
tps:THAPSDRAFT_32507,0.312613800713819,0.780655094455373,3.32285531450372,0.234935024419493,0.814259164686251,NA
tps:THAPSDRAFT_3261,8.79694774086218,1.89308816007882,1.44336645644744,1.31157832553368,0.189662450114349,0.354163712393223
tps:THAPSDRAFT_32668,0.813456538826187,1.5084529135046,3.11352177978486,0.484484458499221,0.628042091450606,NA
tps:THAPSDRAFT_32678,7.56471422472368,-2.93799940881228,2.04555142515478,-1.4362872390705,0.150920623674612,0.304966665670319
tps:THAPSDRAFT_3270,0.396615230001495,1.13305061249666,3.31579379556716,0.341713231387134,0.732566713684866,NA
tps:THAPSDRAFT_32816,1.04673396245143,-1.14004740359515,2.53245487314307,-0.450174814834989,0.652584394611452,NA
tps:THAPSDRAFT_32843,5.60916287349976,2.95737853496639,1.30522433721641,2.26580094367031,0.023463573589243,0.094304727446826
tps:THAPSDRAFT_32899,0.331470502237886,-2.79365336608146,3.36624149741291,-0.829902836213174,0.406593721204048,NA
tps:THAPSDRAFT_3292,12.6573478841092,6.00519365903559,1.58541698818932,3.78776921388613,NA,NA
tps:THAPSDRAFT_32934,0.171890050819904,-0.056458145531111,3.34804242942799,-0.016863031673334,0.986545885022014,NA
tps:THAPSDRAFT_33018,4.31523165345631,-0.053111031347635,1.750382054872,-0.030342536476426,0.975793872974067,0.985551811703807
tps:THAPSDRAFT_33019,0.512754775691997,1.26895327872495,3.31348744212458,0.382966074533031,0.701744918572249,NA
tps:THAPSDRAFT_33092,0.107018325264622,-0.709413006533488,3.36953825632125,-0.21053715748816,0.833248454006857,NA
tps:THAPSDRAFT_3314,4.26241633674023,2.91964667074636,1.89898146894311,1.53748033801052,0.124175726305246,0.268953971534725
tps:THAPSDRAFT_3315,1.89176294026626,3.37609464767611,2.38119053938066,1.417817932602,0.156243927240243,NA
tps:THAPSDRAFT_33231,1.12452980483028,1.55735483555199,2.82814265846625,0.550663464903348,0.581864394204158,NA
tps:THAPSDRAFT_3326,10.6739682558933,4.54634395699779,1.37066404063247,3.316891537404,0.000910249460544,0.013646630584252
tps:THAPSDRAFT_3348,1.10134649089531,2.59664098364897,2.69703658601991,0.962775587512849,0.335660154383905,NA
tps:THAPSDRAFT_33500,10.6583230584379,3.65914359215158,1.60197440708526,2.2841460986941,0.022362946119078,0.091307433196829
tps:THAPSDRAFT_3353,3.42540834186754,-4.13909174321067,1.97722846524426,-2.09338061633628,0.036315191351308,0.122189688258024
tps:THAPSDRAFT_33601,0.157740838462935,-0.201494146732859,3.35295256305908,-0.06009454143575,0.952080337411064,NA
tps:THAPSDRAFT_33682,0.143918832243247,-0.342839202712858,3.35703293170939,-0.102125659678377,0.918656934015284,NA
tps:THAPSDRAFT_33701,6.69553195420929,-0.414836570192035,1.46452459073767,-0.283256814406295,0.77697997923722,0.86165022704889
tps:THAPSDRAFT_3379,5.8990466077828,4.3148975655031,1.66516159757872,2.59127857126738,0.009562005439239,0.05561915226229
tps:THAPSDRAFT_33829,59.6540814173072,-2.30039755839866,1.64690218262539,-1.39680278687318,0.162472884024524,0.320668938032869
tps:THAPSDRAFT_3384,0.30474696614193,0.727417629348047,3.32407464180825,0.21883312131413,0.826780045047221,NA
tps:THAPSDRAFT_33915,0.084100731690327,-1.00269344487318,3.37771005706551,-0.296855984656155,0.766576461297967,NA
tps:THAPSDRAFT_34044,51.3960569157741,2.41183343446897,1.34386679487078,1.79469679857733,0.072702020905724,0.187352522092326
tps:THAPSDRAFT_34094,70.0798397177085,-3.18414138514218,0.894861602268411,-3.55825009931212,0.000373333753308,0.00792743801146
tps:THAPSDRAFT_34125,31.9332369783667,0.998896953828256,0.933290739448462,1.07029558058035,0.284486283058447,0.456335338971156
tps:THAPSDRAFT_3414,52.8886196596048,1.27073122522477,1.28001830819402,0.992744570206688,0.320834448602751,0.492151324435394
tps:THAPSDRAFT_3418,12.1374199092727,1.99951599993805,1.1598438350207,1.72395277671357,0.084716368550415,0.205872576506854
tps:THAPSDRAFT_3428,4.18575466294888,1.52645008132865,1.93977417814699,0.786921538870482,0.431327797990522,0.594083708877746
tps:THAPSDRAFT_34340,0.301940694711869,0.736237090409564,3.3238696353278,0.221499989826453,0.824703144519311,NA
tps:THAPSDRAFT_3439,0.939729206313137,2.36122632021904,3.30098642290159,0.7153093099194,0.474417937077718,NA
tps:THAPSDRAFT_34399,3.89983707216951,2.54934735777273,1.4514637501596,1.75639753834183,0.079020552888989,0.197468025329663
tps:THAPSDRAFT_34447,41.4371573481731,2.80392601580276,0.858562116708263,3.26583943227433,0.001091401159248,0.015324869448268
tps:THAPSDRAFT_34487,12.1599869161549,6.03535124204244,1.92788385693762,3.13055748681323,0.001744748470533,0.020453890787275
tps:THAPSDRAFT_34498,5.15004714092821,2.56494182439616,1.3178793106188,1.9462645810805,0.05162296584639,0.151089687024742
tps:THAPSDRAFT_3454,18.5395505043833,-0.526765197215678,1.24697231897612,-0.422435357384839,0.67270727472062,0.792647816416366
tps:THAPSDRAFT_3463,40.1795831551915,2.10187351654207,1.04066082810122,2.01974885552012,0.043409444645983,0.135525039493992
tps:THAPSDRAFT_34684,0.298632433680957,0.714543017271856,3.32437608574449,0.214940487731199,0.829813717890281,NA
tps:THAPSDRAFT_34698,1.8019377348231,2.39669723852556,2.33947114973867,1.02446112181947,0.305617525089098,NA
tps:THAPSDRAFT_34735,0.707557028318199,1.7943202718851,3.24261355809826,0.553356186217094,0.580019534309803,NA
tps:THAPSDRAFT_3494,0.336402926761308,0.885267868535951,3.32058218267848,0.266600198348913,0.789777002900165,NA
tps:THAPSDRAFT_34994,7.76983684930237,1.09677705869222,1.16555331307877,0.940992613881489,0.346708644287673,0.514070419040872
tps:THAPSDRAFT_35022,2.10199963640421,3.48037035226926,2.10314722113779,1.65483914644187,0.09795713089405,NA
tps:THAPSDRAFT_3506,3.35173633062139,3.55890245262548,1.91136941596479,1.86196473737604,0.062608060844787,0.170579558108583
tps:THAPSDRAFT_35133,0.348912926710864,-3.49631425611491,3.40478321647091,-1.02688307414146,0.304475525223746,NA
tps:THAPSDRAFT_3563,1.56079711368964,3.08580536755533,2.5218332500825,1.22363576872276,0.22108965998961,NA
tps:THAPSDRAFT_3564,7.65127546873534,-2.49328784071638,1.65331428672737,-1.50805437340754,0.131540611411759,0.278718917886455
tps:THAPSDRAFT_35768,4.64688713251783,2.59004123295513,2.00379043244742,1.29257091510895,0.196159504366212,0.361792141969305
tps:THAPSDRAFT_3577,1.29277085643711,2.64233274680208,3.2433294796112,0.814697601157323,0.415245426825326,NA
tps:THAPSDRAFT_3580,0.928247183287013,2.23585876817669,2.99354309990849,0.746893795597945,0.455127671412755,NA
tps:THAPSDRAFT_3583,3.11257250952212,-1.49245392369404,1.56914877897944,-0.951123273769314,0.341541801410228,0.508865463436512
tps:THAPSDRAFT_3587,4.57585006956388,1.35929712065552,1.64692829341312,0.825352947114956,0.409171240107062,0.57425617486503
tps:THAPSDRAFT_3588,4.16100407915606,1.37833524440241,1.26213954764717,1.09206247991504,0.274805639606719,0.44577516686838
tps:THAPSDRAFT_35911,1.66440149185327,1.90515654158233,2.32973206160217,0.817757789825901,0.41349550474374,NA
tps:THAPSDRAFT_3592,1.28178162824628,2.80451952654324,3.10608129056873,0.902912468858702,0.366572352453821,NA
tps:THAPSDRAFT_3600,0.358390475823353,0.959937716878508,3.31905441943573,0.289220240336314,0.772412843860575,NA
tps:THAPSDRAFT_36073,2.24838397908178,-3.68135518555302,2.80186787221941,-1.31389321461363,0.188882142468577,NA
tps:THAPSDRAFT_36206,4.85185881443624,1.92232708306613,1.7883952130926,1.0748894142598,0.282424241898368,0.454293478795447
tps:THAPSDRAFT_36350,1.20286298238757,-1.34125291963683,2.60064167988291,-0.515739223135584,0.60603655603314,NA
tps:THAPSDRAFT_36373,2.10558086897298,1.43776468659586,2.28784979598843,0.628434912605223,0.529719072202861,NA
tps:THAPSDRAFT_36431,3.14360025980739,3.55269868486854,1.99073346787391,1.78461795222783,0.074323307482436,0.189918278043338
tps:THAPSDRAFT_36438,1.76081718210024,-1.22888999216249,2.18808233216805,-0.561628771502785,0.574368973376753,NA
tps:THAPSDRAFT_36494,0.644023160883287,1.81620832948519,3.21284950994305,0.565295176093506,0.571873009261661,NA
tps:THAPSDRAFT_3650,0.385314961764197,-1.01842592088173,3.34048400317117,-0.304873760782847,0.760462300837051,NA
tps:THAPSDRAFT_36524,3.62665727806253,4.30768817614071,2.12431106853908,2.02780479748814,0.042580174536826,0.134172996611115
tps:THAPSDRAFT_36568,16.7125917987134,0.303377966616612,0.95847144148383,0.316522698002297,0.751605799583257,0.845185465576857
tps:THAPSDRAFT_36656,0.313269759359846,0.79264939711094,3.32258654048432,0.238563958365821,0.811443715282321,NA
tps:THAPSDRAFT_36679,11.370924014284,5.93321153047452,2.03484831898685,2.91580039411913,NA,NA
tps:THAPSDRAFT_36787,2.41480491427864,-1.0724400330188,2.87366923556128,-0.373195362830035,0.70900304721145,NA
tps:THAPSDRAFT_36879,1.63637960107861,1.60034474052632,2.29501266010099,0.697314123075861,0.485606231489117,NA
tps:THAPSDRAFT_3688,0.607872370036592,0.023295082299089,2.96353823809596,0.00786056410531,0.993728241848294,NA
tps:THAPSDRAFT_36995,0.831539093933385,2.19242094745125,3.01180176147712,0.727943311373851,0.466648288762848,NA
tps:THAPSDRAFT_37126,19.8105723558926,1.37501396706594,1.2865241378101,1.0687820979453,0.285167867842752,0.456922450266924
tps:THAPSDRAFT_37277,0.36302904866573,-0.298453558393234,3.3557107986635,-0.088938998709931,0.929130389856038,NA
tps:THAPSDRAFT_37280,0.043731056496149,-1.55333265745743,3.39620664068839,-0.457372834399318,0.647403086690517,NA
